,Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price,Price_currency,Link
14109,Kia,Sorento,2013,Offroader / SUV,Ağ,2.0,184,Dizel,Avtomat,155000,Xeyr,34000,AZN,https://turbo.az//autos/7433080-kia-sorento
14110,BMW,528,2014,Sedan,Yaş Asfalt,2.0,245,Benzin,Avtomat,163000,Xeyr,25000,USD,https://turbo.az//autos/7433079-bmw-528
14111,DAF,85 CF,2014,Yük maşını,Ağ,12 ,500,Dizel,Avtomat,237282,Xeyr,60000,AZN,https://turbo.az//autos/7433069-daf-85-cf
14112,Volkswagen,ID.6,2022,Offroader / SUV,Göy,0.0,204,Elektro,Avtomat,0,Bəli,41900,USD,https://turbo.az//autos/7299293-volkswagen-id-6
14113,Skoda,Kamiq,2023,Offroader / SUV,Boz,1.6,110,Benzin,Avtomat,0,Bəli,43900,AZN,https://turbo.az//autos/7365423-skoda-kamiq
14114,Land Rover,Range Rover,2022,Offroader / SUV,Qara,4.4,530,Benzin,Avtomat,0,Bəli,262000,USD,https://turbo.az//autos/6968466-land-rover-range-rover
14115,DFSK,C-35,2023,Minivan,Ağ,1.5,115,Benzin,Mexaniki,0,Bəli,31500,AZN,https://turbo.az//autos/7359421-dfsk-c-35
14116,BMW,X5,2019,Offroader / SUV,Göy,3.0,340,Benzin,Avtomat,67000,Xeyr,85000,USD,https://turbo.az//autos/7425514-bmw-x5
14117,Ford,Mustang,2015,Kupe,Qara,2.3,309,Benzin,Avtomat,178000,Xeyr,22500,USD,https://turbo.az//autos/7403616-ford-mustang
14118,Toyota,RAV4,2020,Offroader / SUV,Yaş Asfalt,2.0,175,Benzin,Avtomat,59600,Xeyr,30800,USD,https://turbo.az//autos/7427920-toyota-rav4
14119,Land Rover,Range Rover,2020,Offroader / SUV,Boz,3.0,340,Benzin,Avtomat,36143,Xeyr,145800,USD,https://turbo.az//autos/7435289-land-rover-range-rover
14120,Hyundai,Santa Fe,2012,Offroader / SUV,Yaş Asfalt,2.0,184,Dizel,Avtomat,213500,Xeyr,32900,AZN,https://turbo.az//autos/7394291-hyundai-santa-fe
14121,Jeep,Patriot,2007,Offroader / SUV,Yaş Asfalt,2.4,174,Benzin,Avtomat,209865,Xeyr,13000,AZN,https://turbo.az//autos/7392037-jeep-patriot
14122,Audi,A6,2015,Sedan,Yaş Asfalt,2.0,249,Benzin,Avtomat,158000,Xeyr,25500,USD,https://turbo.az//autos/7440553-audi-a6
14123,GAZ,33021,2005,Yük maşını,Ağ,2.4,100,Benzin,Mexaniki,150000,Xeyr,11500,AZN,https://turbo.az//autos/7440045-gaz-33021
